# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
2.48	5.98606989762e-06	2.68822283234e-06	8.67429272996e-06
2.5	4.28247259085e-06	1.90763948089e-06	6.19011207175e-06
2.52	3.0537402403e-06	1.34930236012e-06	4.40304260042e-06
2.54	2.17047993548e-06	9.51274576195e-07	3.12175451167e-06
2.56	1.5376840175e-06	6.68479025065e-07	2.20616304256e-06
2.58	1.08584413976e-06	4.68227137898e-07	1.55407127766e-06
2.6	7.64290291516e-07	3.26899201513e-07	1.09118949303e-06
2.62	5.36217540073e-07	2.27489400589e-07	7.63706940662e-07
2.64	3.7498754505e-07	1.57797461899e-07	5.32785006949e-07
2.66	2.61388891956e-07	1.09101791187e-07	3.70490683142e-07
2.68	1.81615597861e-07	7.51896764104e-08	2.56805274272e-07
2.7	1.25781318145e-07	5.16512023395e-08	1.77432520484e-07
2.72	8.68315072616e-08	3.53671387767e-08	1.22198646038e-07
2.74	5.97500034039e-08	2.41389317199e-08	8.38889351238e-08
2.76	4.09825611722e-08	1.64223809994e-08	5.74049421716e-08
2.78	2.80196025191e-08	1.11366727842e-08	3.91562753033e-08
2.8	1.9095352507e-08	7.52796044067e-09	2.66233129476e-08
2.82	1.29717128104e-08	5.07227717505e-09	1.80439899854e-08
2.84	8.78358852037e-09	3.40669795545e-09	1.21902864758e-08
2.86	5.92860762536e-09	2.28071218293e-09	8.20931980828e-09
2.88	3.98878416689e-09	1.52200019628e-09	5.51078436317e-09
2.9	2.67507821056e-09	1.01243571571e-09	3.68751392627e-09
2.92	1.78830480212e-09	6.71320417116e-10	2.45962521924e-09
2.94	1.19167187401e-09	4.43713873263e-10	1.63538574727e-09
2.96	7.91558250207e-10	2.92339833631e-10	1.08389808384e-09
2.98	5.24108318706e-10	1.91993214571e-10	7.16101533277e-10
3.0	3.45917177931e-10	1.25689124739e-10	4.7160630267e-10
3.02	2.27581529598e-10	8.20208906729e-11	3.09602420271e-10
3.04	1.49250772602e-10	5.33540286618e-11	2.02604801264e-10
3.06	9.75689715432e-11	3.45960800512e-11	1.32165051594e-10
3.08	6.35804041349e-11	2.23616821589e-11	8.59420862938e-11
3.1	4.13001945477e-11	1.44079068749e-11	5.57081014225e-11
3.12	2.67423144389e-11	9.25373561465e-12	3.59960500535e-11
3.14	1.72609531479e-11	5.92453081642e-12	2.31854839644e-11
3.16	1.11058100304e-11	3.78104992214e-12	1.48868599526e-11
3.18	7.12288892139e-12	2.40543324482e-12	9.52832216621e-12
3.2	4.55389837758e-12	1.52544837483e-12	6.07934675242e-12
3.22	2.90223438849e-12	9.64330431539e-13	3.86656482003e-12
3.24	1.84375987449e-12	6.07685970238e-13	2.45144584472e-12
3.26	1.16761506494e-12	3.81731800835e-13	1.54934686577e-12
3.28	7.37087746281e-13	2.39036413838e-13	9.76124160119e-13
3.3	4.63835055062e-13	1.49209736972e-13	6.13044792034e-13
3.32	2.90960150186e-13	9.28449767839e-14	3.8380512697e-13
3.34	1.81940634458e-13	5.75901968396e-14	2.39530831298e-13
3.36	1.13410382627e-13	3.5609703789e-14	1.49020086416e-13
3.38	7.04698754091e-14	2.19491919722e-14	9.24190673814e-14
3.4	4.36498159747e-14	1.34865171234e-14	5.7136333098e-14
3.42	2.6951950097e-14	8.26062447839e-15	3.52125745754e-14
3.44	1.65892771112e-14	5.04380683024e-15	2.16330839415e-14
3.46	1.01787591619e-14	3.06999159104e-15	1.3248750753e-14
3.48	6.22576800021e-15	1.86272940759e-15	8.08849740779e-15
3.5	3.79596625587e-15	1.12667033332e-15	4.92263658918e-15
3.52	2.30719158425e-15	6.7932734551e-16	2.98651892976e-15
3.54	1.39790436425e-15	4.08316679868e-16	1.80622104412e-15
3.56	8.44314641103e-16	2.44653570273e-16	1.08896821138e-15
3.58	5.08352309299e-16	1.46131223962e-16	6.5448353326e-16
3.6	3.05112117964e-16	8.7010590993e-17	3.92122708957e-16
3.62	1.825529411e-16	5.16463272774e-17	2.34199268377e-16
3.64	1.08881343722e-16	3.05594533255e-17	1.39440797048e-16
3.66	6.47371983025e-17	1.8025657226e-17	8.27628555285e-17
3.68	3.83698977009e-17	1.05992855359e-17	4.89691832368e-17
3.7	2.26706624548e-17	6.21301767533e-18	2.88836801301e-17
3.72	1.33528852249e-17	3.63052681554e-18	1.69834120404e-17
3.74	7.84014071701e-18	2.11484387102e-18	9.95498458803e-18
3.76	4.5889246722e-18	1.22808692293e-18	5.81701159513e-18
3.78	2.67754523037e-18	7.10922991376e-19	3.38846822174e-18
3.8	1.55740655584e-18	4.10260007865e-19	1.96766656371e-18
3.82	9.03039920566e-19	2.36014935511e-19	1.13905485608e-18
3.84	5.21977923412e-19	1.35351778651e-19	6.57329702063e-19
3.86	3.00772423863e-19	7.73807823248e-20	3.78153206188e-19
3.88	1.72768691668e-19	4.41008964419e-20	2.1686958811e-19
3.9	9.89312893159e-20	2.50557465609e-20	1.23987035877e-19
3.92	5.64734514311e-20	1.41910122606e-20	7.06644636917e-20
3.94	3.21364178472e-20	8.01246162914e-21	4.01488794764e-20
3.96	1.82302868766e-20	4.50988600958e-21	2.27401728862e-20
3.98	1.03093875721e-20	2.53053664074e-21	1.28399242129e-20
4.0	5.81187113108e-21	1.41549258784e-21	7.22736371892e-21
