# mass number (A) = 40
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
2.66	1.29925806379e-07	1.25852649849e-07	2.55778456229e-07
2.68	8.95912334475e-08	8.67345558635e-08	1.76325789311e-07
2.7	6.15790765204e-08	5.95823614938e-08	1.21161438014e-07
2.72	4.21890533449e-08	4.07981448626e-08	8.29871982075e-08
2.74	2.8811555448e-08	2.78459239243e-08	5.66574793723e-08
2.76	1.96126048779e-08	1.89444802959e-08	3.85570851738e-08
2.78	1.33078166241e-08	1.28470942994e-08	2.61549109235e-08
2.8	9.00083022988e-09	8.68419485085e-09	1.76850250807e-08
2.82	6.06825494289e-09	5.85137443809e-09	1.1919629381e-08
2.84	4.07804278792e-09	3.92998715286e-09	8.00802994078e-09
2.86	2.73179213978e-09	2.63105836469e-09	5.36285050446e-09
2.88	1.82411667627e-09	1.75580839568e-09	3.57992507194e-09
2.9	1.21413734922e-09	1.16797138097e-09	2.38210873019e-09
2.92	8.05553514723e-10	7.74456183878e-10	1.5800096986e-09
2.94	5.32762262265e-10	5.11884737068e-10	1.04464699933e-09
2.96	3.51225530297e-10	3.37255679441e-10	6.88481209737e-10
2.98	2.30809312944e-10	2.21492584505e-10	4.52301897449e-10
3.0	1.51194589906e-10	1.45001661864e-10	2.9619625177e-10
3.02	9.872698378e-11	9.46240781513e-11	1.93351061931e-10
3.04	6.42618440798e-11	6.15525768651e-11	1.25814420945e-10
3.06	4.16954994112e-11	3.99123864651e-11	8.16078858764e-11
3.08	2.69677567138e-11	2.57980569608e-11	5.27658136746e-11
3.1	1.73868559185e-11	1.6622069317e-11	3.40089252354e-11
3.12	1.11742609558e-11	1.06758607362e-11	2.1850121692e-11
3.14	7.15877965206e-12	6.83504441273e-12	1.39938240648e-11
3.16	4.57175034308e-12	4.36215713694e-12	8.93390748002e-12
3.18	2.91038350427e-12	2.77513217524e-12	5.68551567951e-12
3.2	1.84689837117e-12	1.75990531226e-12	3.60680368343e-12
3.22	1.16831966236e-12	1.11254872365e-12	2.28086838601e-12
3.24	7.36727892495e-13	7.0108990789e-13	1.43781780038e-12
3.26	4.6310566486e-13	4.40406930014e-13	9.03512594875e-13
3.28	2.90189322556e-13	2.75778957745e-13	5.659682803e-13
3.3	1.81264143739e-13	1.72145409672e-13	3.53409553411e-13
3.32	1.12868379776e-13	1.07116870961e-13	2.19985250737e-13
3.34	7.00589053888e-14	6.64429915124e-14	1.36501896901e-13
3.36	4.33496722958e-14	4.10837512591e-14	8.44334235549e-14
3.38	2.67387090733e-14	2.53233611917e-14	5.20620702649e-14
3.4	1.64409882166e-14	1.55597878607e-14	3.20007760774e-14
3.42	1.00774110011e-14	9.53054560675e-15	1.96079566079e-14
3.44	6.15749814931e-15	5.81921389369e-15	1.1976712043e-14
3.46	3.75054651616e-15	3.54196303043e-15	7.29250954659e-15
3.48	2.27730101919e-15	2.14910455357e-15	4.42640557276e-15
3.5	1.37842328939e-15	1.29988682275e-15	2.67831011214e-15
3.52	8.31728703054e-16	7.83770047689e-16	1.61549875074e-15
3.54	5.00285987578e-16	4.71093970357e-16	9.71379957935e-16
3.56	2.99980605759e-16	2.82268760966e-16	5.82249366725e-16
3.58	1.79310954264e-16	1.68599038092e-16	3.47909992355e-16
3.6	1.06846395827e-16	1.00388734242e-16	2.07235130069e-16
3.62	6.34677261739e-17	5.95872126528e-17	1.23054938827e-16
3.64	3.75825803855e-17	3.52581852592e-17	7.28407656447e-17
3.66	2.21851015402e-17	2.07972642182e-17	4.29823657584e-17
3.68	1.30550333009e-17	1.2229040967e-17	2.52840742679e-17
3.7	7.65837878327e-18	7.16834807403e-18	1.48267268573e-17
3.72	4.47856154181e-18	4.18877289581e-18	8.66733443761e-18
3.74	2.61086030589e-18	2.44003540944e-18	5.05089571533e-18
3.76	1.51730413713e-18	1.41692727247e-18	2.9342314096e-18
3.78	8.79034842015e-19	8.20241295683e-19	1.6992761377e-18
3.8	5.07673498608e-19	4.73346158412e-19	9.81019657019e-19
3.82	2.92286233213e-19	2.72307589709e-19	5.64593822921e-19
3.84	1.6775604965e-19	1.56165392704e-19	3.23921442354e-19
3.86	9.59830344467e-20	8.92800661123e-20	1.85263100559e-19
3.88	5.47466689411e-20	5.08826061032e-20	1.05629275044e-19
3.9	3.11292271983e-20	2.89087827547e-20	6.0038009953e-20
3.92	1.76452113168e-20	1.63733048696e-20	3.40185161864e-20
3.94	9.97088565416e-21	9.24462795969e-21	1.92155136139e-20
3.96	5.61680582816e-21	5.20342776478e-21	1.08202335929e-20
3.98	3.15423710962e-21	2.91969221927e-21	6.07392932889e-21
4.0	1.76583026655e-21	1.63317418897e-21	3.39900445552e-21
4.02	9.85493364527e-22	9.10701958665e-22	1.89619532319e-21
4.04	5.48288339646e-22	5.06254376164e-22	1.05454271581e-21
4.06	3.04099212392e-22	2.80550139776e-22	5.84649352168e-22
4.08	1.68140748762e-22	1.54989324027e-22	3.23130072789e-22
4.1	9.26792403553e-23	8.53577747842e-23	1.78037015139e-22
4.12	5.09265392946e-23	4.68635081008e-23	9.77900473953e-23
4.14	2.78970623798e-23	2.56494062166e-23	5.35464685964e-23
4.16	1.52344150897e-23	1.39949398782e-23	2.92293549679e-23
4.18	8.29366491901e-24	7.61230792002e-24	1.5905972839e-23
4.2	4.50112378377e-24	4.12775229888e-24	8.62887608266e-24
4.22	2.43528377472e-24	2.23132717801e-24	4.66661095272e-24
4.24	1.31350796981e-24	1.20244605039e-24	2.5159540202e-24
4.26	7.06269957613e-25	6.45982909884e-25	1.3522528675e-24
4.28	3.78585519566e-25	3.45963196185e-25	7.24548715751e-25
4.3	2.02307910416e-25	1.84710920449e-25	3.87018830865e-25
4.32	1.07774912994e-25	9.83126481748e-26	2.06087561169e-25
4.34	5.72372545467e-26	5.21651802845e-26	1.09402434831e-25
4.36	3.03037619058e-26	2.75935049208e-26	5.78972668265e-26
4.38	1.59945221728e-26	1.45508444105e-26	3.05453665833e-26
4.4	8.41595300271e-27	7.64935878166e-27	1.60653117844e-26
4.42	4.41461633851e-27	4.00883054297e-27	8.42344688148e-27
4.44	2.30855692181e-27	2.09443323948e-27	4.40299016129e-27
4.46	1.20350107755e-27	1.09086703807e-27	2.29436811562e-27
4.48	6.254764591e-28	5.66413903836e-28	1.19189036294e-27
4.5	3.24066660606e-28	2.93192658048e-28	6.17259318654e-28
4.52	1.67385157197e-28	1.51296778575e-28	3.18681935772e-28
4.54	8.61904290775e-29	7.78330373192e-29	1.64023466397e-28
4.56	4.42446686189e-29	3.99168517453e-29	8.41615203642e-29
4.58	2.26424256599e-29	2.04083024977e-29	4.30507281576e-29
4.6	1.15516851826e-29	1.0401981437e-29	2.19536666196e-29
4.62	5.87527792599e-30	5.28547645074e-30	1.11607543767e-29
4.64	2.97901332604e-30	2.67738834841e-30	5.65640167445e-30
4.66	1.50583613795e-30	1.35206644354e-30	2.85790258149e-30
4.68	7.58830012593e-31	6.8068223097e-31	1.43951224356e-30
4.7	3.81217711716e-31	3.4162589233e-31	7.22843604045e-31
4.72	1.90925394362e-31	1.70929648461e-31	3.61855042823e-31
4.74	9.53271574945e-32	8.52598452408e-32	1.80587002735e-31
4.76	4.74495581738e-32	4.23967398947e-32	8.98462980685e-32
4.78	2.35456423984e-32	2.10175179152e-32	4.45631603136e-32
4.8	1.16480174253e-32	1.03870371793e-32	2.20350546046e-32
4.82	5.74456077695e-33	5.11756649724e-33	1.08621272742e-32
4.84	2.82439376296e-33	2.51360540007e-33	5.33799916303e-33
4.86	1.38438697092e-33	1.23081491579e-33	2.61520188671e-33
4.88	6.76478269332e-34	6.0082872475e-34	1.27730699408e-33
4.9	3.29544846635e-34	2.92395814251e-34	6.21940660885e-34
4.92	1.6004413503e-34	1.41858178516e-34	3.01902313546e-34
4.94	7.74871703176e-35	6.86120831736e-35	1.46099253491e-34
4.96	3.74011425879e-35	3.30833943372e-35	7.04845369251e-35
4.98	1.79972105393e-35	1.59031434415e-35	3.39003539808e-35
5.0	8.63358182827e-36	7.62113360489e-36	1.62547154332e-35
#normalisation = 40.0
