# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
3.34	2.83358298393e-19	1.57196692062e-20	2.99077967599e-19
3.36	1.35103574906e-19	7.41052226627e-21	1.42514097172e-19
3.38	6.40831599502e-20	3.47557112482e-21	6.7558731075e-20
3.4	3.02391182655e-20	1.62172418849e-21	3.1860842454e-20
3.42	1.41952933556e-20	7.52840079075e-22	1.49481334347e-20
3.44	6.62935909786e-21	3.47700119106e-22	6.97705921696e-21
3.46	3.08001254991e-21	1.59766138929e-22	3.23977868883e-21
3.48	1.4236033706e-21	7.30371519289e-23	1.49664052253e-21
3.5	6.5461037773e-22	3.32187649914e-23	6.87829142721e-22
3.52	2.99457962782e-22	1.50315943425e-23	3.14489557124e-22
3.54	1.3628550231e-22	6.76721306441e-24	1.43052715374e-22
3.56	6.17057943854e-23	3.03109254599e-24	6.47368869314e-23
3.58	2.77949810426e-23	1.35074810709e-24	2.91457291496e-23
3.6	1.24558274679e-23	5.98875607328e-25	1.30547030752e-23
3.62	5.5532361932e-24	2.64172256866e-25	5.81740845007e-24
3.64	2.46313735738e-24	1.15938408247e-25	2.57907576562e-24
3.66	1.0869300038e-24	5.06242036953e-26	1.1375542075e-24
3.68	4.77184681983e-25	2.19928240993e-26	4.99177506082e-25
3.7	2.08422626712e-25	9.50597968261e-27	2.17928606394e-25
3.72	9.05687029141e-26	4.08796331939e-27	9.46566662335e-26
3.74	3.91550494029e-26	1.74909118268e-27	4.09041405856e-26
3.76	1.68412823989e-26	7.44585146818e-28	1.75858675457e-26
3.78	7.20678687231e-27	3.1536524747e-28	7.52215211978e-27
3.8	3.06823556143e-27	1.32896002246e-28	3.20113156368e-27
3.82	1.29962350726e-27	5.57198160383e-29	1.35534332329e-27
3.84	5.47683392677e-28	2.32438542562e-29	5.70927246934e-28
3.86	2.29628630462e-28	9.64735697924e-30	2.39275987441e-28
3.88	9.57873640525e-29	3.98392631264e-30	9.97712903651e-29
3.9	3.97536842897e-29	1.6368842879e-30	4.13905685776e-29
3.92	1.64147682095e-29	6.691590793e-31	1.70839272888e-29
3.94	6.7434407342e-30	2.72173879863e-31	7.01561461406e-30
3.96	2.75625217078e-30	1.10146356556e-31	2.86639852733e-30
3.98	1.12085166192e-30	4.43507924776e-32	1.1652024544e-30
4.0	4.53492672475e-31	1.77681049018e-32	4.71260777377e-31
4.02	1.82551954958e-31	7.08255928551e-33	1.89634514243e-31
4.04	7.31135551006e-32	2.80898619502e-33	7.59225412956e-32
4.06	2.91343690176e-32	1.10846031522e-33	3.02428293328e-32
