# mass number (A) = 9
# number of protons (Z) = 4
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
2.66	3.45620010298e-06	2.31147215915e-06	5.76767226212e-06
2.68	2.65180936964e-06	1.77219817647e-06	4.4240075461e-06
2.7	2.03018838906e-06	1.35577734676e-06	3.38596573582e-06
2.72	1.5508918372e-06	1.03494522077e-06	2.58583705796e-06
2.74	1.18216560165e-06	7.88314804901e-07	1.97048040655e-06
2.76	8.99139881041e-07	5.99150260463e-07	1.4982901415e-06
2.78	6.82383987934e-07	4.5438709319e-07	1.13677108112e-06
2.8	5.16753585131e-07	3.43851398228e-07	8.60604983359e-07
2.82	3.90473662304e-07	2.59639389329e-07	6.50113051633e-07
2.84	2.94411001295e-07	1.95625622487e-07	4.90036623783e-07
2.86	2.21498515899e-07	1.4707425581e-07	3.68572771709e-07
2.88	1.66280971765e-07	1.10332569614e-07	2.76613541379e-07
2.9	1.24557440532e-07	8.25899754512e-08	2.07147415983e-07
2.92	9.31006300038e-08	6.1689016537e-08	1.54789646541e-07
2.94	6.94371382511e-08	4.59775294347e-08	1.15414667686e-07
2.96	5.16758557484e-08	3.41933029677e-08	8.58691587161e-08
2.98	3.83743138707e-08	2.53743236565e-08	6.37486375272e-08
3.0	2.84348576542e-08	1.87891116461e-08	4.72239693003e-08
3.02	2.10241952987e-08	1.38827888596e-08	3.49069841582e-08
3.04	1.55112210681e-08	1.02354333199e-08	2.57466543881e-08
3.06	1.14190838325e-08	7.53000266449e-09	1.89490864969e-08
3.08	8.38833147973e-09	5.52769079715e-09	1.39160222769e-08
3.1	6.1486437381e-09	4.04904308804e-09	1.01976868261e-08
3.12	4.4972068943e-09	2.95952098361e-09	7.45672787792e-09
3.14	3.28221147572e-09	2.15849544806e-09	5.44070692378e-09
3.16	2.39029092265e-09	1.57087581776e-09	3.96116674042e-09
3.18	1.73698403458e-09	1.14075895134e-09	2.87774298592e-09
3.2	1.25951138759e-09	8.26623098486e-10	2.08613448608e-09
3.22	9.11317935279e-10	5.97699799615e-10	1.50901773489e-09
3.24	6.57960192003e-10	4.3124185303e-10	1.08920204503e-09
3.26	4.74014395698e-10	3.10471121141e-10	7.8448551684e-10
3.28	3.40757936556e-10	2.23040802384e-10	5.6379873894e-10
3.3	2.44434939091e-10	1.59886028599e-10	4.0432096769e-10
3.32	1.74962008782e-10	1.14366829187e-10	2.89328837969e-10
3.34	1.24964802833e-10	8.16306569835e-11	2.06595459816e-10
3.36	8.90626153278e-11	5.81393835473e-11	1.47201998875e-10
3.38	6.33384255627e-11	4.13191846007e-11	1.04657610163e-10
3.4	4.49472848972e-11	2.93020170869e-11	7.42493019841e-11
3.42	3.18276323086e-11	2.07351895162e-11	5.25628218249e-11
3.44	2.24890007441e-11	1.46414293604e-11	3.71304301046e-11
3.46	1.58562770307e-11	1.03163050236e-11	2.61725820543e-11
3.48	1.11557252237e-11	7.25321171772e-12	1.84089369414e-11
3.5	7.83177467241e-12	5.08864629279e-12	1.29204209652e-11
3.52	5.48641456428e-12	3.56237922279e-12	9.04879378707e-12
3.54	3.83515909622e-12	2.48853784469e-12	6.32369694091e-12
3.56	2.67512905419e-12	1.73466175773e-12	4.40979081192e-12
3.58	1.86197111355e-12	1.20656867864e-12	3.06853979219e-12
