# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
3.2 	-0.00534684 	-0.00636487 	-0.00679324
3.22 	-0.00523589 	-0.00625067 	-0.00662309
3.24 	-0.00512744 	-0.00614025 	-0.00645538
3.26 	-0.00502143 	-0.00603336 	-0.00629015
3.28 	-0.00491781 	-0.00592976 	-0.00612746
3.3 	-0.00481653 	-0.00582923 	-0.00596737
3.32 	-0.00471755 	-0.00573152 	-0.00580993
3.34 	-0.00462082 	-0.00563645 	-0.00565521
3.36 	-0.00452629 	-0.00554378 	-0.00550327
3.38 	-0.00443391 	-0.00545333 	-0.00535417
3.4 	-0.00434365 	-0.0053649 	-0.00520797
3.42 	-0.00425547 	-0.00527831 	-0.00506473
3.44 	-0.00416931 	-0.0051934 	-0.00492451
3.46 	-0.00408513 	-0.00511 	-0.00478737
3.48 	-0.0040029 	-0.00502796 	-0.00465335
3.5 	-0.00392258 	-0.00494714 	-0.0045225
3.52 	-0.00384412 	-0.00486741 	-0.00439488
3.54 	-0.00376748 	-0.00478865 	-0.00427052
3.56 	-0.00369262 	-0.00471075 	-0.00414945
3.58 	-0.0036195 	-0.00463361 	-0.00403172
3.6 	-0.00354808 	-0.00455713 	-0.00391734
3.62 	-0.00347833 	-0.00448125 	-0.00380634
3.64 	-0.0034102 	-0.00440587 	-0.00369874
3.66 	-0.00334365 	-0.00433096 	-0.00359454
3.68 	-0.00327865 	-0.00425644 	-0.00349375
3.7 	-0.00321515 	-0.00418228 	-0.00339636
3.72 	-0.00315312 	-0.00410844 	-0.00330237
3.74 	-0.00309251 	-0.00403489 	-0.00321177
3.76 	-0.0030333 	-0.00396162 	-0.00312454
3.78 	-0.00297544 	-0.00388861 	-0.00304064
3.8 	-0.00291889 	-0.00381585 	-0.00296005
3.82 	-0.00286363 	-0.00374335 	-0.00288274
3.84 	-0.00280961 	-0.00367111 	-0.00280865
3.86 	-0.00275679 	-0.00359915 	-0.00273773
3.88 	-0.00270515 	-0.00352749 	-0.00266995
3.9 	-0.00265465 	-0.00345614 	-0.00260523
3.92 	-0.00260525 	-0.00338514 	-0.00254351
3.94 	-0.00255692 	-0.00331451 	-0.00248472
3.96 	-0.00250963 	-0.0032443 	-0.00242879
3.98 	-0.00246335 	-0.00317453 	-0.00237564
4 	-0.00241804 	-0.00310525 	-0.00232519
