# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 pieper
7.88	-4.70509e-05
7.9	-4.67728e-05
7.92	-4.64612e-05
7.94	-4.61189e-05
7.96	-4.57486e-05
7.98	-4.53531e-05
8	-4.49349e-05
8.02	-4.44965e-05
8.04	-4.40406e-05
8.06	-4.35694e-05
8.08	-4.30855e-05
8.1	-4.25911e-05
8.12	-4.20884e-05
8.14	-4.15797e-05
8.16	-4.1067e-05
8.18	-4.05522e-05
8.2	-4.00375e-05
8.22	-3.95245e-05
8.24	-3.90151e-05
8.26	-3.8511e-05
8.28	-3.80136e-05
8.3	-3.75246e-05
8.32	-3.70454e-05
8.34	-3.65772e-05
8.36	-3.61214e-05
8.38	-3.56789e-05
8.4	-3.5251e-05
8.42	-3.48386e-05
8.44	-3.44424e-05
8.46	-3.40635e-05
8.48	-3.37023e-05
8.5	-3.33596e-05
8.52	-3.30358e-05
8.54	-3.27314e-05
8.56	-3.24467e-05
8.58	-3.21821e-05
8.6	-3.19376e-05
8.62	-3.17135e-05
8.64	-3.15097e-05
8.66	-3.13262e-05
8.68	-3.11629e-05
8.7	-3.10196e-05
8.72	-3.0896e-05
8.74	-3.07919e-05
8.76	-3.07068e-05
8.78	-3.06404e-05
8.8	-3.0592e-05
8.82	-3.05613e-05
8.84	-3.05475e-05
8.86	-3.055e-05
8.88	-3.05681e-05
8.9	-3.06011e-05
8.92	-3.06482e-05
8.94	-3.07086e-05
8.96	-3.07814e-05
8.98	-3.08659e-05
9	-3.0961e-05
9.02	-3.10658e-05
9.04	-3.11794e-05
9.06	-3.13009e-05
9.08	-3.14293e-05
9.1	-3.15635e-05
9.12	-3.17026e-05
9.14	-3.18456e-05
9.16	-3.19915e-05
9.18	-3.21393e-05
9.2	-3.2288e-05
9.22	-3.24366e-05
9.24	-3.25841e-05
9.26	-3.27296e-05
9.28	-3.28721e-05
9.3	-3.30107e-05
9.32	-3.31444e-05
9.34	-3.32725e-05
9.36	-3.33939e-05
