# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
2.62 	-0.0271644 	0 		-0.00159511 	-0.00102994
2.64 	-0.0266267 	0 		-0.0014803 	-0.00089627
2.66 	-0.0260996 	0 		-0.00137296 	-0.000778392
2.68 	-0.025583 	0 		-0.00127269 	-0.000674667
2.7 	-0.0250765 	0 		-0.00117907 	-0.000583595
2.72 	-0.0245801 	0 		-0.00109172 	-0.000503808
2.74 	-0.0240934 	0 		-0.00101026 	-0.00043406
2.76 	-0.0236164 	0 		-0.000934353 	-0.000373221
2.78 	-0.0231488 	0 		-0.000863657 	-0.000320268
2.8 	-0.0226905 	0 		-0.000797856 	-0.000274279
2.82 	-0.0222412 	0 		-0.00073665 	-0.000234425
2.84 	-0.0218008 	0 		-0.000679753 	-0.000199961
2.86 	-0.0213692 	0 		-0.000626895 	-0.000170223
2.88 	-0.0209461 	0 		-0.000577818 	-0.000144618
2.9 	-0.0205313 	0 		-0.000532281 	-0.000122619
2.92 	-0.0201248 	0 		-0.000490054 	-0.000103759
2.94 	-0.0197263 	0 		-0.000450921 	-8.76241e-05
2.96 	-0.0193357 	0 		-0.000414678 	-7.38504e-05
2.98 	-0.0189528 	0 		-0.00038113 	-6.21175e-05
3 	-0.0185775 	0 		-0.000350098 	-5.21443e-05
3.02 	-0.0182097 	0 		-0.00032141 	-4.36848e-05
3.04 	-0.0178491 	0 		-0.000294905 	-3.65246e-05
3.06 	-0.0174957 	0 		-0.000270432 	-3.0477e-05
3.08 	-0.0171492 	0 		-0.000247849 	-2.53799e-05
3.1 	-0.0168097 	0 		-0.000227023 	-2.1093e-05
3.12 	-0.0164768 	0 		-0.000207829 	-1.74952e-05
3.14 	-0.0161505 	0 		-0.00019015 	-1.44821e-05
3.16 	-0.0158307 	0 		-0.000173876 	-1.19639e-05
3.18 	-0.0155173 	0 		-0.000158904 	-9.86389e-06
3.2 	-0.01521 	0 		-0.000145139 	-8.11623e-06
3.22 	-0.0149088 	0 		-0.000132491 	-6.66487e-06
3.24 	-0.0146136 	0 		-0.000120877 	-5.4621e-06
3.26 	-0.0143242 	0 		-0.000110218 	-4.46745e-06
3.28 	-0.0140406 	0 		-0.000100442 	-3.64662e-06
3.3 	-0.0137626 	0 		-9.14806e-05 	-2.97066e-06
3.32 	-0.0134901 	0 		-8.32718e-05 	-2.41517e-06
